scope,feature_name,importance_wape_mean,importance_wape_std
h2,target_statutory_holiday_nominal_days,0.0,0.0
h2,target_working_days_proxy,0.0,0.0
h2,target_lunar_month_mid,0.0,0.0
h2,target_lunar_month_mid_is_leap,0.0,0.0
h2,target_lunar_month_sin,0.0,0.0
h2,target_lunar_month_cos,0.0,0.0
h2,target_tet_day_of_month,0.0,0.0
h2,target_days_to_next_tet_from_midmonth,0.0,0.0
h2,target_days_since_prev_tet_from_midmonth,0.0,0.0
h2,target_is_tet_month,0.0,0.0
h2,target_is_post_tet_month,0.0,0.0
h3,tile_size_code,0.006635307251503408,0.000125953147297575
h3,months_since_first_positive,-0.0006560156698488528,0.0002675811193167954
h3,months_since_last_positive,-0.0004943932251356697,0.0002845134890173684
h3,pair_lag_1,0.022390517204430305,0.00022618936891816155
h3,pair_lag_2,0.0006908688501532367,4.774699410448058e-05
h3,pair_lag_3,-0.00034098295221562935,0.0001888509050356202
h3,pair_lag_6,0.001957273198613385,0.0001762365524736742
h3,pair_lag_12,0.00013492555667804496,4.9110950796737995e-05
h3,pair_roll_3_mean,0.025659831290840596,0.0009933166264163296
h3,pair_roll_3_sum,0.010021683669429016,0.0005781616595946781
h3,pair_roll_3_std,0.0010680719639577507,0.0002290325896356915
h3,pair_roll_3_target_available_count,0.0,0.0
h3,pair_roll_3_positive_count,0.002218476585247542,0.00016055343375764863
h3,pair_roll_3_coverage,0.0,0.0
h3,pair_roll_6_mean,0.030684420202238716,0.0012179244470993389
h3,pair_roll_6_sum,0.01189062338936675,0.0004522988790176541
h3,pair_roll_6_std,0.0006829377553271287,5.671942508522765e-05
h3,pair_roll_6_target_available_count,0.0,0.0
h3,pair_roll_6_positive_count,0.0010886749543819185,0.0008500010745791098
h3,pair_roll_6_coverage,0.0,0.0
h3,pair_roll_12_mean,0.0038871645044642467,0.0005059927233153072
h3,pair_roll_12_sum,0.017423212623463025,0.0007000588956811438
h3,pair_roll_12_std,0.00031818297406915885,3.787657587894788e-05
h3,pair_roll_12_target_available_count,7.860015757144012e-06,2.099897695972963e-05
h3,pair_roll_12_positive_count,0.0013696393306535937,0.00035905982481032606
h3,pair_roll_12_coverage,0.0,0.0
h3,pair_history_length_months,0.0,0.0
h3,pair_target_available_count_to_origin,-9.600118785824119e-05,1.546187694267953e-05
h3,pair_positive_count_to_origin,9.615925801564895e-05,0.000811118599566174
h3,pair_positive_rate_to_origin,0.005873468280757299,0.0002509903247751577
h3,pair_last_positive_m2_to_origin,0.001646379060370129,0.00027107683449900666
h3,pair_mean_positive_m2_to_origin,-0.002145889407088264,0.00026741340912539435
h3,pair_peak_positive_m2_to_origin,0.001255518346654716,0.00011450454950034938
h3,pair_peak_share_to_origin,-0.002556135368198209,0.0002113251065405386
h3,pair_adi_target_available_to_origin,0.0012390090590927993,2.1583935128743903e-05
h3,pair_cv2_positive_to_origin,0.008038867404622563,0.0016035541164498568
h3,sku_global_lag_1,0.023672866770684364,0.0002563324097607511
h3,sku_global_lag_2,0.001166070748038095,0.00033776677446994974
h3,sku_global_lag_3,0.004735791427117664,0.001299961926154336
h3,sku_global_lag_6,0.00022105375504544167,3.355458470311046e-05
h3,sku_global_lag_12,-0.0008898146201170576,0.0004520562709970921
h3,sku_global_roll_3_mean,0.026654284394360572,0.0001462919110261085
h3,sku_global_roll_3_sum,5.717708297214852e-05,2.2081267499030055e-05
h3,sku_global_roll_6_mean,0.005995423031304736,1.9090692498724415e-05
h3,sku_global_roll_6_sum,0.00126994032743033,8.538085128351192e-05
h3,sku_global_roll_12_mean,0.006026303659595111,6.686187824911372e-05
