threshold,wape,zero_false_positive_rate,mae,bias_ratio,forecast_origin,horizon
0.2,0.9594552986716398,0.47075738125802313,45.426112134502425,-0.24034678627127334,2025-08-01,2
0.25,0.9483609863196352,0.3959435173299101,44.90084381021978,-0.2601074754704028,2025-08-01,2
0.3,0.939735225313728,0.3333504492939666,44.49245085304684,-0.28217020932610465,2025-08-01,2
0.35,0.9310113709124642,0.2833889602053915,44.07941359239953,-0.3051750385914794,2025-08-01,2
0.4,0.923073690848089,0.23851091142490372,43.70359833014465,-0.333777301316383,2025-08-01,2
0.45,0.9157457876703003,0.20092426187419768,43.356653400114176,-0.36307083537961327,2025-08-01,2
0.5,0.9091651648117512,0.1650834403080873,43.04508900279291,-0.4011009459219508,2025-08-01,2
0.55,0.9053485385989714,0.13186136071887034,42.864388046159235,-0.4436304643350513,2025-08-01,2
0.6,0.9060032811090042,0.10382541720154044,42.89538730867949,-0.4958482111777193,2025-08-01,2
0.65,0.9110996204569386,0.0765596919127086,43.13667721870997,-0.5645020666142084,2025-08-01,2
0.7,0.9330879512360691,0.05263157894736842,44.17773080505861,-0.6558278925117794,2025-08-01,2
0.75,0.9420825118508959,0.031630295250320926,44.60358484917654,-0.7403490935764329,2025-08-01,2
0.8,0.9572902736743458,0.015815147625160463,45.3236074441461,-0.8287092038716889,2025-08-01,2
0.85,0.9746964456216042,0.005596919127086008,46.1477153726794,-0.9120981094403708,2025-08-01,2
0.9,0.9954766345717309,0.0004621309370988447,47.131568601413996,-0.9884601762281612,2025-08-01,2
0.95,1.0,0.0,47.34573064257877,-1.0,2025-08-01,2
0.0,1.0316851257967725,1.0,47.55213751949762,-0.1689616177418718,2025-08-01,3
0.05,1.0285749579357566,0.8368669669339778,47.408784546640184,-0.1722963280884019,2025-08-01,3
0.1,1.0214234728416631,0.7012523343952544,47.079160328785605,-0.18073655289616003,2025-08-01,3
0.15,1.0133166140409129,0.5993079204657805,46.705501297647885,-0.19290633422712952,2025-08-01,3
0.2,1.0037377592572463,0.5117543666922992,46.26399544614068,-0.20965194261010653,2025-08-01,3
0.25,0.9924381174904202,0.4302977040536087,45.74317557020984,-0.23016163763009223,2025-08-01,3
0.3,0.9807353633917657,0.3629572668351093,45.20377555528154,-0.2544596928072203,2025-08-01,3
0.35,0.9699998525490182,0.30660221904866525,44.708957441526024,-0.2826511743397196,2025-08-01,3
0.4,0.9586761550038523,0.2555750851367681,44.187028793498776,-0.3178487960448101,2025-08-01,3
0.45,0.9500816665646235,0.21520377897396462,43.79089407569298,-0.352673401388397,2025-08-01,3
0.5,0.9460514800576839,0.17895199384818192,43.60513586496061,-0.39332192483124284,2025-08-01,3
0.55,0.9371949327364943,0.14006371525870592,43.19692240366844,-0.44465092666704914,2025-08-01,3
0.6,0.9345793899004099,0.10864550148302757,43.076367546842754,-0.5042393943334145,2025-08-01,3
0.65,0.9395505847749238,0.08173129737449193,43.305498447733214,-0.5693226835457741,2025-08-01,3
0.7,0.9426137936096392,0.05772822146545095,43.44668699850041,-0.6424614353942244,2025-08-01,3
0.75,0.9423346267342957,0.0360320773371416,43.433819718246696,-0.7157806600347895,2025-08-01,3
0.8,0.9461030531209375,0.01911457761177634,43.60751295593033,-0.7984422835251836,2025-08-01,3
0.85,0.955269760565241,0.00675601450071405,44.030022229441364,-0.8905786194719617,2025-08-01,3
0.9,0.9769409950017697,0.0006041964187630452,45.02888660615437,-0.9669613533069914,2025-08-01,3
0.95,0.9971824103884709,0.0,45.96184816970734,-0.9953767427992583,2025-08-01,3
0.0,0.976982386885163,1.0,41.022927045508375,-0.11048854017531486,2025-09-01,1
0.05,0.969812074199841,0.7473684210526316,40.72184975063384,-0.1179441932680504,2025-09-01,1
0.1,0.9607256474898694,0.5866346363834899,40.340315932797125,-0.1291815885805795,2025-09-01,1
0.15,0.9512578916446912,0.48132780082987553,39.942770324467666,-0.14257331187378505,2025-09-01,1
0.2,0.9417854762657657,0.4049355754531557,39.54502906500309,-0.15883581373811248,2025-09-01,1
0.25,0.933168921071471,0.3495086263376283,39.18322488115684,-0.1756880619956081,2025-09-01,1
0.3,0.9256377942034858,0.30220572177331295,38.86699720681685,-0.19483928023713926,2025-09-01,1
0.35,0.919391665187183,0.26245905219480237,38.60472585127117,-0.2145118115635082,2025-09-01,1
0.4,0.9121547084537776,0.2264686612797554,38.30085021124811,-0.2393056537443165,2025-09-01,1
0.45,0.9051946636606187,0.19510810220572178,38.0086019439139,-0.266097965626257,2025-09-01,1
0.5,0.8970216881960302,0.16479580694474777,37.66542341712645,-0.29422515171791525,2025-09-01,1
0.55,0.8902181491015309,0.1371041712164228,37.37974673382947,-0.32287296384028513,2025-09-01,1
0.6,0.8856489085484097,0.11286307053941909,37.18788695787008,-0.3579834403024011,2025-09-01,1
0.65,0.8814737556055252,0.08975758899322997,37.01257469341272,-0.40096913248705934,2025-09-01,1
