forecast_origin,model,level,n_units,wape_3m,mae_3m,bias_3m,bias_ratio_3m,actual_sum_m2,forecast_sum_m2
2025-02-01,moving_average_3,PORTFOLIO,1,0.14403092288998276,212744.16000000015,-212744.16000000015,-0.14403092288998276,1477072.81,1264328.65
2025-02-01,croston_sba,PORTFOLIO,1,0.7460276730494225,1101937.1913688718,1101937.1913688718,0.7460276730494225,1477072.81,2579010.001368872
2025-02-01,tsb,PORTFOLIO,1,0.6255870645787042,924037.643376918,924037.643376918,0.6255870645787042,1477072.81,2401110.453376918
2025-02-01,lightgbm_tweedie,PORTFOLIO,1,0.3287699731211765,485617.18804172066,-485617.18804172066,-0.3287699731211765,1477072.81,991455.6219582794
2025-02-01,hurdle,PORTFOLIO,1,0.8688618287073296,1283372.182830474,-1283372.182830474,-0.8688618287073296,1477072.81,193700.62716952586
2025-02-01,behavior_gated,PORTFOLIO,1,0.7557327460231419,1116272.2907774185,-1116272.2907774185,-0.7557327460231419,1477072.81,360800.51922258147
2025-03-01,naive_1,PAIR,8668,1.0882126638202791,195.82677895708355,342983.82000000007,0.21988541595865674,1559829.7800000003,1902813.6
2025-03-01,seasonal_naive_12,PAIR,8668,1.3150524924585039,236.64721273650207,-781872.6600000001,-0.5012551177218837,1559829.7800000003,777957.1200000001
2025-03-01,moving_average_3,PAIR,8668,0.824849119113497,148.43380479926165,-206566.06,-0.13242859102228446,1559829.7800000003,1353263.72
2025-03-01,croston_sba,PAIR,8668,1.4443519565973695,259.9149970814311,1313958.5655065547,0.8423730475940486,1559829.7800000003,2873788.345506555
2025-03-01,tsb,PAIR,8668,1.3071157429074955,235.218973430311,1125494.7543508636,0.7215497285549091,1559829.7800000003,2685324.5343508637
2025-03-01,lightgbm_tweedie,PAIR,8668,0.7561205553689864,136.06591595923905,-319464.6696833345,-0.2048073923061877,1559829.7800000003,1240365.1103166656
2025-03-01,hurdle,PAIR,8668,0.8461917640208109,152.2744708249185,-1220690.448831267,-0.7825792688938576,1559829.7800000003,339139.33116873313
2025-03-01,behavior_gated,PAIR,8668,0.8378579102914228,150.77477155989038,-1201237.2758957858,-0.7701079254274691,1559829.7800000003,358592.50410421414
2025-03-01,naive_1,BASE_SKU,916,0.604043910483617,1028.6088209606987,342983.81999999995,0.21988541595865668,1559829.78,1902813.5999999999
2025-03-01,seasonal_naive_12,BASE_SKU,916,1.2104434497974517,2061.228973799127,-781872.6600000001,-0.5012551177218838,1559829.78,777957.12
2025-03-01,moving_average_3,BASE_SKU,916,0.45769740336666737,779.3996069868996,-206566.06,-0.1324285910222845,1559829.78,1353263.7200000002
2025-03-01,croston_sba,BASE_SKU,916,1.0170136569238821,1731.843000804121,1313958.5655065547,0.8423730475940487,1559829.78,2873788.3455065554
2025-03-01,tsb,BASE_SKU,916,0.8836594689917223,1504.7580295985535,1125494.7543508634,0.721549728554909,1559829.78,2685324.5343508637
2025-03-01,lightgbm_tweedie,BASE_SKU,916,0.4360009920805126,742.453418730052,-319464.6696833345,-0.20480739230618772,1559829.78,1240365.1103166654
2025-03-01,hurdle,BASE_SKU,916,0.7868254674369604,1339.8622224569772,-1220690.4488312667,-0.7825792688938575,1559829.78,339139.3311687332
2025-03-01,behavior_gated,BASE_SKU,916,0.7752522774819914,1320.1545736127005,-1201237.2758957858,-0.7701079254274692,1559829.78,358592.50410421414
2025-03-01,naive_1,BRANCH,52,0.3557282385004855,10670.68269230769,342983.82000000007,0.21988541595865677,1559829.78,1902813.6
2025-03-01,seasonal_naive_12,BRANCH,52,0.6766862599584423,20298.37269230769,-781872.66,-0.5012551177218837,1559829.78,777957.1200000001
2025-03-01,moving_average_3,BRANCH,52,0.3126580517010003,9378.718076923076,-206566.06000000008,-0.13242859102228455,1559829.78,1353263.7200000002
2025-03-01,croston_sba,BRANCH,52,0.8631194426342588,25890.7578907292,1313958.5655065547,0.8423730475940487,1559829.78,2873788.3455065545
2025-03-01,tsb,BRANCH,52,0.7443704782642474,22328.677679796456,1125494.7543508634,0.721549728554909,1559829.78,2685324.534350864
2025-03-01,lightgbm_tweedie,BRANCH,52,0.3213813346758605,9640.388010837574,-319464.6696833345,-0.20480739230618772,1559829.78,1240365.1103166656
2025-03-01,hurdle,BRANCH,52,0.7825792688938575,23474.816323678206,-1220690.4488312667,-0.7825792688938575,1559829.78,339139.33116873313
2025-03-01,behavior_gated,BRANCH,52,0.7701079254274691,23100.716844149723,-1201237.2758957855,-0.7701079254274691,1559829.78,358592.50410421414
2025-03-01,naive_1,PORTFOLIO,1,0.21988541595865677,342983.82000000007,342983.82000000007,0.21988541595865677,1559829.78,1902813.6
2025-03-01,seasonal_naive_12,PORTFOLIO,1,0.5012551177218837,781872.66,-781872.66,-0.5012551177218837,1559829.78,777957.12
2025-03-01,moving_average_3,PORTFOLIO,1,0.13242859102228452,206566.06000000006,-206566.06000000006,-0.13242859102228452,1559829.78,1353263.72
2025-03-01,croston_sba,PORTFOLIO,1,0.842373047594049,1313958.565506555,1313958.565506555,0.842373047594049,1559829.78,2873788.345506555
2025-03-01,tsb,PORTFOLIO,1,0.7215497285549091,1125494.7543508636,1125494.7543508636,0.7215497285549091,1559829.78,2685324.5343508637
2025-03-01,lightgbm_tweedie,PORTFOLIO,1,0.20480739230618766,319464.6696833344,-319464.6696833344,-0.20480739230618766,1559829.78,1240365.1103166656
2025-03-01,hurdle,PORTFOLIO,1,0.7825792688938578,1220690.448831267,-1220690.448831267,-0.7825792688938578,1559829.78,339139.33116873313
2025-03-01,behavior_gated,PORTFOLIO,1,0.7701079254274694,1201237.275895786,-1201237.275895786,-0.7701079254274694,1559829.78,358592.50410421414
2025-04-01,naive_1,PAIR,9696,1.2864306115043191,199.28318172442243,816060.01,0.5433068828471364,1502024.0599999998,2318084.0700000003
2025-04-01,seasonal_naive_12,PAIR,9696,1.5475012098008605,239.72607776402637,-10661.150000000067,-0.007097855676160119,1502024.0599999998,1491362.91
2025-04-01,moving_average_3,PAIR,9696,1.0136617318899672,157.02808477722772,359607.02999999997,0.2394149598375941,1502024.0599999998,1861631.09
2025-04-01,croston_sba,PAIR,9696,1.675220397184229,259.51127705996987,1652258.0412883037,1.1000210218259112,1502024.0599999998,3154282.101288304
2025-04-01,tsb,PAIR,9696,1.5280630882000874,236.71488486741265,1454475.8805455593,0.9683439295543371,1502024.0599999998,2956499.9405455594
2025-04-01,lightgbm_tweedie,PAIR,9696,0.850119674823635,131.69350303882797,-12620.364248348684,-0.00840223840911622,1502024.0599999998,1489403.6957516512
2025-04-01,hurdle,PAIR,9696,0.7922064238690442,122.72206158600066,-655855.8767789456,-0.43664804995130746,1502024.0599999998,846168.1832210544
2025-04-01,behavior_gated,PAIR,9696,0.7911062836925974,122.55163697643016,-482862.8512896007,-0.32147477803358276,1502024.0599999998,1019161.2087103992
2025-04-01,naive_1,BASE_SKU,1002,0.7726520239629185,1158.2254790419163,816060.01,0.5433068828471362,1502024.06,2318084.0700000003
2025-04-01,seasonal_naive_12,BASE_SKU,1002,1.321770151937513,1981.3678343313375,-10661.14999999995,-0.007097855676160041,1502024.06,1491362.91
2025-04-01,moving_average_3,BASE_SKU,1002,0.5550849365222552,832.086756487026,359607.02999999997,0.23941495983759406,1502024.06,1861631.0900000003
2025-04-01,croston_sba,BASE_SKU,1002,1.2149196451243656,1821.1961456521547,1652258.041288304,1.1000210218259112,1502024.06,3154282.101288304
2025-04-01,tsb,BASE_SKU,1002,1.076018786738823,1612.980146400919,1454475.8805455593,0.968343929554337,1502024.06,2956499.940545559
2025-04-01,lightgbm_tweedie,BASE_SKU,1002,0.45262103858098385,678.4907085936387,-12620.364248348676,-0.008402238409116214,1502024.06,1489403.6957516514
2025-04-01,hurdle,BASE_SKU,1002,0.5577711226119937,836.113419297829,-655855.8767789456,-0.4366480499513074,1502024.06,846168.1832210543
2025-04-01,behavior_gated,BASE_SKU,1002,0.5003196951336354,749.9922353119614,-482862.8512896007,-0.3214747780335827,1502024.06,1019161.2087103992
2025-04-01,naive_1,BRANCH,54,0.5567947759771571,15487.391666666665,816060.0099999998,0.5433068828471362,1502024.0599999998,2318084.0700000003
2025-04-01,seasonal_naive_12,BRANCH,54,0.6589356032019887,18328.46537037037,-10661.149999999994,-0.007097855676160072,1502024.0599999998,1491362.91
2025-04-01,moving_average_3,BRANCH,54,0.41388542737457884,11512.330925925926,359607.0299999999,0.23941495983759406,1502024.0599999998,1861631.0899999999
2025-04-01,croston_sba,BRANCH,54,1.1088712271195278,30843.54189954176,1652258.041288304,1.1000210218259114,1502024.0599999998,3154282.1012883047
2025-04-01,tsb,BRANCH,54,0.9782872642675066,27211.314972618016,1454475.880545559,0.968343929554337,1502024.0599999998,2956499.9405455594
2025-04-01,lightgbm_tweedie,BRANCH,54,0.333550298938724,9277.788411595478,-12620.364248348695,-0.008402238409116226,1502024.0599999998,1489403.6957516512
2025-04-01,hurdle,BRANCH,54,0.5145762811866914,14313.073241624736,-655855.8767789457,-0.4366480499513075,1502024.0599999998,846168.1832210544
2025-04-01,behavior_gated,BRANCH,54,0.41237058726237646,11470.195253785536,-482862.8512896007,-0.32147477803358276,1502024.0599999998,1019161.2087103992
2025-04-01,naive_1,PORTFOLIO,1,0.5433068828471361,816060.0099999998,816060.0099999998,0.5433068828471361,1502024.06,2318084.07
2025-04-01,seasonal_naive_12,PORTFOLIO,1,0.007097855676160167,10661.15000000014,-10661.15000000014,-0.007097855676160167,1502024.06,1491362.91
2025-04-01,moving_average_3,PORTFOLIO,1,0.2394149598375941,359607.03,359607.03,0.2394149598375941,1502024.06,1861631.09
2025-04-01,croston_sba,PORTFOLIO,1,1.1000210218259112,1652258.0412883037,1652258.0412883037,1.1000210218259112,1502024.06,3154282.1012883037
2025-04-01,tsb,PORTFOLIO,1,0.968343929554337,1454475.8805455593,1454475.8805455593,0.968343929554337,1502024.06,2956499.9405455594
2025-04-01,lightgbm_tweedie,PORTFOLIO,1,0.008402238409116185,12620.364248348633,-12620.364248348633,-0.008402238409116185,1502024.06,1489403.6957516514
2025-04-01,hurdle,PORTFOLIO,1,0.43664804995130746,655855.8767789457,-655855.8767789457,-0.43664804995130746,1502024.06,846168.1832210544
2025-04-01,behavior_gated,PORTFOLIO,1,0.32147477803358276,482862.85128960083,-482862.85128960083,-0.32147477803358276,1502024.06,1019161.2087103992
2025-05-01,naive_1,PAIR,10769,1.0572696105681414,151.474075587334,330282.88,0.21407114130993596,1542865.04,1873147.92
2025-05-01,seasonal_naive_12,PAIR,10769,1.5372277279677034,220.2372476553069,-28500.620000000003,-0.018472529522089633,1542865.04,1514364.42
