forecast_origin,model,level,n_units,wape_3m,mae_3m,bias_3m,bias_ratio_3m,actual_sum_m2,forecast_sum_m2
2025-06-01,lightgbm_reference,PAIR,11443,0.7776485688744204,94.68928691604323,-152995.4834809107,-0.10980477933949796,1393340.8399999999,1240345.356519089
2025-06-01,soft_two_part_expected,PAIR,11443,0.7582924803271112,92.33241995146906,-194229.85357994348,-0.1393986654262883,1393340.8399999999,1199110.9864200563
2025-06-01,lightgbm_reference,BASE_SKU,1084,0.41037689047024617,527.4860528453881,-152995.4834809107,-0.10980477933949796,1393340.8399999999,1240345.356519089
2025-06-01,soft_two_part_expected,BASE_SKU,1084,0.40369232104806263,518.8939093271746,-194229.8535799435,-0.13939866542628832,1393340.8399999999,1199110.9864200565
2025-06-01,lightgbm_reference,BRANCH,57,0.2477605398811797,6056.401381699937,-152995.48348091065,-0.1098047793394979,1393340.84,1240345.3565190895
2025-06-01,soft_two_part_expected,BRANCH,57,0.24707630899235786,6039.675647640552,-194229.85357994345,-0.13939866542628826,1393340.84,1199110.9864200563
2025-06-01,lightgbm_reference,PORTFOLIO,1,0.10980477933949798,152995.48348091077,-152995.48348091077,-0.10980477933949798,1393340.84,1240345.3565190893
2025-06-01,soft_two_part_expected,PORTFOLIO,1,0.13939866542628832,194229.85357994353,-194229.85357994353,-0.13939866542628832,1393340.84,1199110.9864200565
2025-07-01,lightgbm_reference,PAIR,12194,0.8213082801951215,86.29647276877002,-5040.834227265281,-0.003934317286802205,1281247.51,1276206.6757727347
2025-07-01,soft_two_part_expected,PAIR,12194,0.7954279685042903,83.57717763084143,13043.585046379849,0.01018037884528638,1281247.51,1294291.0950463798
2025-07-01,lightgbm_reference,BASE_SKU,1140,0.42516443244500907,477.84286878134304,-5040.834227265281,-0.003934317286802205,1281247.51,1276206.6757727347
2025-07-01,soft_two_part_expected,BASE_SKU,1140,0.39672099050118786,445.875246705597,13043.585046379849,0.01018037884528638,1281247.51,1294291.0950463798
2025-07-01,lightgbm_reference,BRANCH,57,0.23088797309159043,5189.905975658723,-5040.8342272653135,-0.00393431728680223,1281247.51,1276206.6757727345
2025-07-01,soft_two_part_expected,BRANCH,57,0.19985389532373804,4492.321153462105,13043.585046379856,0.010180378845286385,1281247.51,1294291.0950463798
2025-07-01,lightgbm_reference,PORTFOLIO,1,0.003934317286802239,5040.834227265324,-5040.834227265324,-0.003934317286802239,1281247.51,1276206.6757727347
2025-07-01,soft_two_part_expected,PORTFOLIO,1,0.010180378845286362,13043.585046379827,13043.585046379827,0.010180378845286362,1281247.51,1294291.0950463798
2025-08-01,lightgbm_reference,PAIR,12782,0.8287527151666051,76.81082327437909,39832.27578538387,0.03362318508304441,1184666.94,1224499.215785384
2025-08-01,soft_two_part_expected,PAIR,12782,0.8137396653554956,75.41937719553425,60261.2837123483,0.05086770102012664,1184666.94,1244928.2237123484
2025-08-01,lightgbm_reference,BASE_SKU,1169,0.4106920981560633,416.19619435818913,39832.275785383856,0.033623185083044405,1184666.94,1224499.2157853837
2025-08-01,soft_two_part_expected,BASE_SKU,1169,0.396905353939685,402.2246801722357,60261.28371234832,0.05086770102012665,1184666.94,1244928.2237123484
2025-08-01,lightgbm_reference,BRANCH,57,0.20931536324744204,4350.333173216414,39832.27578538385,0.0336231850830444,1184666.94,1224499.215785384
2025-08-01,soft_two_part_expected,BRANCH,57,0.19110885749511544,3971.935884484815,60261.283712348275,0.05086770102012662,1184666.94,1244928.2237123484
2025-08-01,lightgbm_reference,PORTFOLIO,1,0.03362318508304452,39832.275785384,39832.275785384,0.03362318508304452,1184666.94,1224499.215785384
2025-08-01,soft_two_part_expected,PORTFOLIO,1,0.05086770102012675,60261.283712348435,60261.283712348435,0.05086770102012675,1184666.94,1244928.2237123484
2025-09-01,lightgbm_reference,PAIR,13242,0.752525384248377,77.83570029406863,-243472.25193721362,-0.17776170458749646,1369655.25,1126182.9980627866
2025-09-01,soft_two_part_expected,PAIR,13242,0.7499379031976185,77.56807025287797,-207428.38299097482,-0.15144568897244384,1369655.25,1162226.8670090253
2025-09-01,lightgbm_reference,BASE_SKU,1206,0.39394116103878923,447.39931957535083,-243472.2519372136,-0.17776170458749643,1369655.25,1126182.9980627864
2025-09-01,soft_two_part_expected,BASE_SKU,1206,0.3892262586357101,442.0446008111593,-207428.38299097482,-0.15144568897244384,1369655.25,1162226.867009025
2025-09-01,lightgbm_reference,BRANCH,57,0.2551432036004811,6130.846110758209,-243472.25193721356,-0.17776170458749638,1369655.2500000002,1126182.9980627864
2025-09-01,soft_two_part_expected,BRANCH,57,0.22947362208281835,5514.030723197336,-207428.38299097482,-0.15144568897244381,1369655.2500000002,1162226.867009025
2025-09-01,lightgbm_reference,PORTFOLIO,1,0.17776170458749643,243472.2519372136,-243472.2519372136,-0.17776170458749643,1369655.25,1126182.9980627864
2025-09-01,soft_two_part_expected,PORTFOLIO,1,0.15144568897244376,207428.3829909747,-207428.3829909747,-0.15144568897244376,1369655.25,1162226.8670090253
2025-10-01,lightgbm_reference,PAIR,13761,0.7065095180010595,78.11922409904176,-511242.0354406917,-0.33599797213812893,1521562.8599999999,1010320.8245593084
2025-10-01,soft_two_part_expected,PAIR,13761,0.7103054823640235,78.53894638612623,-495009.78799548984,-0.32532983093152645,1521562.8599999999,1026553.0720045101
2025-10-01,lightgbm_reference,BASE_SKU,1217,0.422817425047915,528.6304770038957,-511242.03544069163,-0.3359979721381289,1521562.8599999999,1010320.8245593084
