source_file,source_row_no,bravo_sku,base_sku,branch_code,month,mapping_status,branch_mapping_status,primary_exclusion_reason,secondary_flags
sales_monthly_by_sku_branch_202607161619.csv,151112,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,014,2024-04-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151113,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,015,2024-05-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151114,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,015,2024-08-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151115,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,015,2024-09-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151116,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,015,2025-04-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151117,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,015,2025-05-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151118,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,016,2024-01-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151119,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,016,2025-01-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151120,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,017,2025-01-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151121,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,017,2025-04-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151122,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,017,2025-08-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151123,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,018,2024-01-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151124,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,018,2024-08-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151125,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,019,2024-05-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151126,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,023,2024-03-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151127,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,023,2024-04-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151128,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,023,2024-10-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151129,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,023,2024-11-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151130,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,023,2024-12-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151131,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,023,2025-02-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151132,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,049,2025-07-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151133,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,093,2024-06-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151134,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,093,2024-07-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151135,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,093,2024-08-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151136,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,093,2025-04-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151137,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,093,2025-06-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151138,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,094,2025-07-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151139,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,094,2025-08-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151140,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,094,2025-09-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151141,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,094,2025-10-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151142,31.L1.LEO-100100-001.01,31.L1.LEO-100100-001,222,2024-10-01,MAPPED,MAPPED,INVALID_STRUCTURE,
sales_monthly_by_sku_branch_202607161619.csv,151143,31.L1.LEO-100100-002.01,31.L1.LEO-100100-002,000,2024-07-01,MAPPED,MAPPED,INVALID_STRUCTURE,
